date,btcusdt,ethusdt,btcusdt_norm,ethusdt_norm,btcusdt_return,ethusdt_return,btcusdt_cumreturn,ethusdt_cumreturn,btcusdt_vol_roll,ethusdt_vol_roll,btcusdt_drawdown,ethusdt_drawdown
2023-03-04,22346.57,1566.73,1.0,1.0,0.0,0.0,0.0,0.0,,,0.0,0.0
2023-03-05,22430.24,1564.58,1.0037441987741296,0.9986277150498171,0.00374419877412957,-0.0013722849501829337,0.00374419877412957,-0.0013722849501829337,,,0.0,-0.0013722849501829337
2023-03-06,22410.0,1565.84,1.0028384669325092,0.9994319378578312,-0.0009023532516817534,0.0008053279474362629,0.0028384669325092204,-0.0005680621421687571,,,-0.0009023532516815314,-0.0005680621421687571
2023-03-07,22197.96,1561.96,0.9933497624020151,0.9969554422268037,-0.009461847389558242,-0.002477903234046841,-0.006650237597984887,-0.0030445577731963436,,,-0.010355662712481117,-0.0030445577731963436
2023-03-08,21705.44,1532.38,0.9713096909279589,0.9780753544005668,-0.022187624448372745,-0.01893774488463207,-0.028690309072041065,-0.02192464559943319,,,-0.0323135196056753,-0.02192464559943319
2023-03-09,20362.22,1437.32,0.9112011373557554,0.9174012114403886,-0.06188402538718396,-0.06203422127670688,-0.08879886264424464,-0.08259878855961145,,,-0.09219785432523231,-0.08259878855961145
2023-03-10,20150.69,1426.44,0.9017352551196894,0.9104568113203935,-0.010388356475865668,-0.007569643503186452,-0.09826474488031056,-0.08954318867960653,,,-0.10162842662405758,-0.08954318867960653
2023-03-11,20455.73,1471.97,0.9153856721635579,0.9395173386607776,0.015137943167206735,0.03191862258489664,-0.08461432783644207,-0.06048266133922242,,,-0.08802892880325852,-0.06048266133922242
2023-03-12,21997.11,1580.33,0.9843618058610337,1.0086805001499939,0.07535199183798391,0.07361563075334399,-0.015638194138966277,0.008680500149993886,,,-0.01931009208996426,0.0
2023-03-13,24113.48,1673.45,1.0790685102903936,1.0681163952946584,0.09621127502658289,0.05892440186543335,0.07906851029039363,0.0681163952946584,,,0.0,0.0
2023-03-14,24670.41,1699.4,1.1039909033019386,1.0846795555073305,0.023096210086640312,0.015506886970031886,0.10399090330193861,0.08467955550733053,,,0.0,0.0
2023-03-15,24285.66,1649.96,1.0867734958877358,1.0531233843738232,-0.01559560623435119,-0.029092620925032397,0.08677349588773575,0.053123384373823246,,,-0.0155956062343513,-0.029092620925032286
2023-03-16,24998.78,1673.73,1.118685328441904,1.068295111474217,0.02936383034267953,0.01440640985235997,0.11868532844190405,0.06829511147421696,,,0.0,-0.01510533129339764
2023-03-17,27395.13,1789.27,1.2259210250163672,1.1420410664249743,0.09585867790348179,0.0690314447372038,0.22592102501636724,0.14204106642497427,,,0.0,0.0
2023-03-18,26907.49,1758.84,1.2040993315752708,1.1226184473393628,-0.017800244057976755,-0.017006935789456112,0.20409933157527083,0.12261844733936278,,,-0.017800244057976755,-0.017006935789456112
2023-03-19,27972.87,1780.68,1.2517746571397759,1.1365583093449414,0.039594179910500626,0.012417275022173824,0.25177465713977587,0.1365583093449414,,,0.0,-0.004800840566264397
2023-03-20,27717.01,1732.78,1.2403250252723348,1.1059850771990067,-0.009146719660871439,-0.026899836017701184,0.2403250252723348,0.10598507719900674,,,-0.00914671966087155,-0.031571534759985975
2023-03-21,28105.47,1801.23,1.2577084536911034,1.1496748003804103,0.014015220256441863,0.039502995186925016,0.2577084536911034,0.14967480038041026,,,0.0,0.0
2023-03-22,27250.97,1734.33,1.2194699231246675,1.1069743989072782,-0.030403334297558482,-0.03714128678736206,0.2194699231246675,0.10697439890727822,,,-0.03040333429755837,-0.03714128678736206
2023-03-23,28295.41,1813.79,1.2662081921297095,1.1576914975777575,0.038326709104299805,0.04581596351328754,0.2662081921297095,0.15769149757775747,,,0.0,0.0
2023-03-24,27454.47,1749.57,1.2285764660974816,1.1167016652518302,-0.029720014659621374,-0.03540652445983272,0.2285764660974816,0.11670166525183023,,,-0.029720014659621596,-0.03540652445983272
2023-03-25,27462.95,1741.88,1.2289559426793464,1.1117933530346646,0.0003088750210802349,-0.004395365718433575,0.22895594267934638,0.11179335303466464,,,-0.029420319408695605,-0.039646265554446614
2023-03-26,27968.05,1773.88,1.251558964082631,1.1322180592699445,0.018392051837111456,0.018370955519323884,0.251558964082631,0.13221805926994445,,,-0.0115693676112133,-0.022003649816130788
2023-03-27,27124.91,1715.22,1.2138287889371837,1.094777019652397,-0.030146542215134797,-0.03306875324148195,0.2138287889371837,0.09477701965239693,,,-0.041367133397254174,-0.05434476979143121
2023-03-28,27261.07,1772.99,1.2199218940535392,1.1316499971277756,0.005019740157663266,0.033680810624876045,0.21992189405353924,0.1316499971277756,,,-0.036555045500312744,-0.02249433506635279
2023-03-29,28348.6,1793.07,1.2685884231897782,1.1444665002904137,0.03989315166279228,0.011325500989853188,0.26858842318977816,0.14446650029041375,,,0.0,-0.011423593690559564
2023-03-30,28028.53,1793.61,1.254265419704232,1.144811167208134,-0.011290504645732002,0.00030115946393616255,0.254265419704232,0.14481116720813403,,,-0.011290504645732113,-0.01112587454997549
2023-03-31,28465.36,1821.52,1.2738133861259244,1.1626253406777172,0.015585191231934026,0.015560796382714237,0.27381338612592443,0.16262534067771717,,,0.0,0.0
2023-04-01,28452.73,1820.79,1.27324819871685,1.162159402066725,-0.00044369718141634706,-0.00040076419693446663,0.27324819871685,0.16215940206672497,,,-0.00044369718141623604,-0.0004007641969343556
